P1|P2|P3|样本数|平均月薪|链接|1年以内|1-3年|3-5年|5-10年|10年以上|24岁以下|25岁-29岁|30岁-34岁|35岁-39岁|40岁-44岁|45岁以上
生产制造|生产营运|生产总监|2,346|￥13679|https://www.zhipin.com/salaryxc/c101120100_p300102.html|1年以内工作经验占比1%，平均月薪¥4,279；|1-3年工作经验占比5%，平均月薪¥10,800；|3-5年工作经验占比53%，平均月薪¥11,000；|5-10年工作经验占比40%，平均月薪¥11,800；|10年以上工作经验占比1%，平均月薪¥11,800；|24岁以下占比1%；|25岁-29岁占比5%；|30岁-34岁占比18%；|35岁-39岁占比35%；|40岁-44岁占比24%；|45岁以上占比17%；
生产制造|生产营运|车间主任|6,325|￥8406|https://www.zhipin.com/salaryxc/c101120100_p300103.html||1-3年工作经验占比19%，平均月薪¥7,850；|3-5年工作经验占比60%，平均月薪¥8,400；|5-10年工作经验占比21%，平均月薪¥8,600；||24岁以下占比9%；|25岁-29岁占比14%；|30岁-34岁占比26%；|35岁-39岁占比29%；|40岁-44岁占比15%；|45岁以上占比7%；
生产制造|生产营运|生产组长/拉长|2,997|￥5876|https://www.zhipin.com/salaryxc/c101120100_p300104.html||1-3年工作经验占比61%，平均月薪¥6,500；|3-5年工作经验占比36%，平均月薪¥6,750；|5-10年工作经验占比2%，平均月薪¥10,100；|10年以上工作经验占比1%，平均月薪¥15,129；|24岁以下占比47%；|25岁-29岁占比22%；|30岁-34岁占比15%；|35岁-39岁占比11%；|40岁-44岁占比3%；|45岁以上占比2%；
生产制造|生产营运|生产设备管理员|2,765|￥6486|https://www.zhipin.com/salaryxc/c101120100_p300106.html||1-3年工作经验占比45%，平均月薪¥6,700；|3-5年工作经验占比41%，平均月薪¥7,700；|5-10年工作经验占比14%，平均月薪¥8,000；||24岁以下占比41%；|25岁-29岁占比21%；|30岁-34岁占比14%；|35岁-39岁占比13%；|40岁-44岁占比7%；|45岁以上占比4%；
生产制造|生产营运|生产计划/物料管理(PMC)|13,573|￥5666|https://www.zhipin.com/salaryxc/c101120100_p300107.html|1年以内工作经验占比57%，平均月薪¥5,000；|1-3年工作经验占比26%，平均月薪¥6,000；|3-5年工作经验占比9%，平均月薪¥7,700；|5-10年工作经验占比7%，平均月薪¥9,400；|10年以上工作经验占比1%，平均月薪¥15,450；|24岁以下占比56%；|25岁-29岁占比19%；|30岁-34岁占比11%；|35岁-39岁占比9%；|40岁-44岁占比4%；|45岁以上占比1%；
生产制造|生产营运|生产跟单/文员|4,943|￥4140|https://www.zhipin.com/salaryxc/c101120100_p300108.html|1年以内工作经验占比1%，平均月薪¥4,000；|1-3年工作经验占比84%，平均月薪¥4,000；|3-5年工作经验占比12%，平均月薪¥4,000；|5-10年工作经验占比2%，平均月薪¥4,300；|10年以上工作经验占比1%，平均月薪¥5,991；|24岁以下占比52%；|25岁-29岁占比22%；|30岁-34岁占比13%；|35岁-39岁占比9%；|40岁-44岁占比3%；|45岁以上占比1%；
生产制造|生产营运|厂务|431|￥6696|https://www.zhipin.com/salaryxc/c101120100_p300110.html|1年以内工作经验占比1%，平均月薪¥6,300；|1-3年工作经验占比31%，平均月薪¥8,600；|3-5年工作经验占比21%，平均月薪¥13,037；|5-10年工作经验占比46%，平均月薪¥24,000；|10年以上工作经验占比1%，平均月薪¥35,950；|24岁以下占比43%；|25岁-29岁占比15%；|30岁-34岁占比13%；|35岁-39岁占比15%；|40岁-44岁占比7%；|45岁以上占比7%；
生产制造|质量安全|汽车质量工程师|626|￥12020|https://www.zhipin.com/salaryxc/c101120100_p230109.html||1-3年工作经验占比14%，平均月薪¥9,000；|3-5年工作经验占比71%，平均月薪¥11,060；|5-10年工作经验占比15%，平均月薪¥11,400；||24岁以下占比23%；|25岁-29岁占比34%；|30岁-34岁占比25%；|35岁-39岁占比14%；|40岁-44岁占比2%；|45岁以上占比2%；
生产制造|质量安全|质量管理/测试|10,711|￥6966|https://www.zhipin.com/salaryxc/c101120100_p300201.html||1-3年工作经验占比47%，平均月薪¥5,700；|3-5年工作经验占比44%，平均月薪¥7,300；|5-10年工作经验占比9%，平均月薪¥10,600；||24岁以下占比46%；|25岁-29岁占比26%；|30岁-34岁占比14%；|35岁-39岁占比9%；|40岁-44岁占比3%；|45岁以上占比2%；
生产制造|质量安全|可靠度工程师|8|￥8383|https://www.zhipin.com/salaryxc/c101120100_p300202.html||1-3年工作经验占比66%，平均月薪¥6,000；|3-5年工作经验占比23%，平均月薪¥8,431；|5-10年工作经验占比11%，平均月薪¥9,529；||24岁以下占比25%；|25岁-29岁占比62%；||35岁-39岁占比12%；||45岁以上占比1%；
生产制造|质量安全|失效分析工程师|111|￥9203|https://www.zhipin.com/salaryxc/c101120100_p300203.html||1-3年工作经验占比11%，平均月薪¥9,886；|3-5年工作经验占比79%，平均月薪¥11,459；|5-10年工作经验占比9%，平均月薪¥18,200；|10年以上工作经验占比1%，平均月薪¥27,262；|24岁以下占比60%；|25岁-29岁占比32%；|30岁-34岁占比5%；|35岁-39岁占比3%；||
生产制造|质量安全|产品认证工程师|229|￥8056|https://www.zhipin.com/salaryxc/c101120100_p300204.html||1-3年工作经验占比35%，平均月薪¥6,300；|3-5年工作经验占比52%，平均月薪¥6,329；|5-10年工作经验占比12%，平均月薪¥7,300；|10年以上工作经验占比1%，平均月薪¥9,480；|24岁以下占比35%；|25岁-29岁占比31%；|30岁-34岁占比18%；|35岁-39岁占比9%；|40岁-44岁占比5%；|45岁以上占比2%；
生产制造|质量安全|体系工程师|1,715|￥6506|https://www.zhipin.com/salaryxc/c101120100_p300205.html||1-3年工作经验占比26%，平均月薪¥6,300；|3-5年工作经验占比69%，平均月薪¥7,000；|5-10年工作经验占比4%，平均月薪¥8,300；|10年以上工作经验占比1%，平均月薪¥12,432；|24岁以下占比45%；|25岁-29岁占比29%；|30岁-34岁占比13%；|35岁-39岁占比7%；|40岁-44岁占比3%；|45岁以上占比3%；
生产制造|质量安全|体系审核员|1,440|￥8460|https://www.zhipin.com/salaryxc/c101120100_p300206.html||1-3年工作经验占比25%，平均月薪¥9,100；|3-5年工作经验占比58%，平均月薪¥10,000；|5-10年工作经验占比17%，平均月薪¥10,800；||24岁以下占比23%；|25岁-29岁占比22%；|30岁-34岁占比20%；|35岁-39岁占比17%；|40岁-44岁占比11%；|45岁以上占比7%；
